question,expected_ans,article_id,filter,matched_articles,predicted_ans,reason,pass_fail
What is the process for disputing an accident?,"Disputed Activity  Accidents
	Accident involvement (code 166) appears on a Motor Vehicle Report when an insured has been involved in an accident and an accident report was completed and filed with the Department of Motor Vehicles. The MVR unit or underwriting department pursues the details so the accident can be added and policy correctly rated. An outbound call is first attempted, then, if no response, it is followed by a letter asking the insured for accident details. UWACCDETMVR or MVACCDETMVR
	If no response is received, the accident is assumed to be at-fault. Accident entry code 599 with default amount of $2501 (or 516 if indicated with injury) is entered, often in conjunction with a re-class. 
Insured Does Not Recall Accident
	Read Underwriting comments to determine driver involved and date of accident. A copy of the automated letter is in image.
	Contact Underwriting for them to do a test quote to see if change in accident details will have any effect on premium.  If not, advise insured of no effect - no need to proceed. 
	Instruct the insured to contact the Department of Motor Vehicle to obtain the accident report that was completed for the listed accident to jog their memory. We will not change the description of the accident until we have details of the accident.
	Advise the insured that once the information is retrieved, they may fax documentation to dispute the loss to the Underwriting Department at 1-800-895-2294. The premium will not necessarily be reduced back to the quoted amount even if the accident is determined to be not at fault, since the accident was previously undisclosed.
Insured Recalls Accident
	If insured recalls the accident, ask the following questions:
o	Details / description of accident.
o	Total repair damages paid to insured?
o	Total repair damages paid to other parties?
o	Did an insureds insurance carrier pay for damages? If so, how much?
o	Did the other partys insurance carrier pay for damages? If so, how much?
o	Was anyone injured in accident? If so, describe injuries.
	Document policy with specific information:
o	Name of person you spoke with
o	Answers to above questions
	Do NOT refer to Underwriting - information entered in comments will be reviewed when Underwriting diary generates.
	Advise the insured that underwriting will update the policy with the new information, however, it will not necessarily reduce the premium back to the quoted amount even if the accident is determined to be not at fault since the accident was previously undisclosed
",kaD4T000000PGE4UAO,Farmers_Hawaii,"kaD4T000000PGE4UAO,kaD4T000000Cny1UAC,kaD4T000000PGDQUA4,kaD4T000000H6n0UAC,kaD4T000000PKVnUAO"," The process for disputing an accident is as follows:

1. Contact the Department of Motor Vehicle to obtain the accident report that was completed for the listed accident.

2.  Fax the accident report along with any other supporting documentation to the Underwriting Department at 1-800-895-2294.

3.  The Underwriting Department will review the information and update the policy accordingly.

4.  The premium will not necessarily be reduced back to the quoted amount even if the accident is determined to be not at fault, since the accident was previously undisclosed.",Picked two bullet points out of multiple points in the artilce and summarized on those instead of the entire article.,Fail
How to replace a vehicle on a commercial policy?,"PSP Steps:
Note:  If replacing/removing all existing vehicles on policy, add the new vehicle(s) and rate the policy first before deleting the existing vehicle(s) on the policy. 
1.	Open policy in PSP
2.	Under the Endorse Policy Tab select Start Endorsement.
3.	In a new tab that pops up, select the Effective Date, then Endorse Policy
4.	Select Save and Continue on the bottom.
5.	Select +Add
6.	Under Add/Edit Vehicle Information, select Type and enter the VIN
7.	Fill in the appropriate information and select Save.
8.	Delete the vehicle it is replacing
9.	Select Save and Continue
10.	Under Coverages Tab, scroll to the vehicle that was added and enter appropriate information. Select Get Rates.
11.	Save and Continue when done.
12.	Select Submit Endorsement.
AS400:
Note:  If replacing/removing all existing vehicles on policy, add the new vehicle(s) and rate the policy first before deleting the existing vehicle(s) on the policy. 
1.	Open mock quote in www.IAproducers.com or www.BWproducers.com and add vehicle to mock quote. 
2.	Save and exit quote and log on to AS400.
3.	Start an eDragon session and pull up quote from (1) above.
4.	Open secondary AS400 session.
5.	From AS400 master menu select Policy Processing
6.	Enter the MCO, select Endorsement and enter the policy number, then enter
7.	Input the effective date of the transaction and select enter
8.	Place a 1 next to the basic contract screen and select enter
9.	Enter the first letter of the client's last name and press enter
10.	Press F12 twice
11.	Select Error Correction and press enter
12.	Place a 1 next to the vehicle screen and enter
13.	Select shift and F1 or  select F13
14.	Enter the garaging zipcode
15.	Enter the following information and then hit Enter:
	Serial/VIN
	Model year
	Make and model of vehicle
	Vehicle type ind,
	Make/model/modifier
	Passive restraint disc
	Anti-lock brakes
	Unacceptable vehicle code 
16.	Verify all fields match secondary AS400 edragon screen correctly
17.	On Vehicle screen place a 4 next to the vehicle to be replaced and enter to remove
18.	Type ""Y"" then enter to confirm removing vehicle
19.	Press F7, enter appropriate coverage
20.	Press F7 to continue
21.	Press F9 to rate policy
22.	Enter appropriate Diary and TC comments
",kaD4T000000CnuNUAS,Bristol_West,"kaD4T000000TRniUAG,kaD4T000000CnuNUAS,kaD4T000000XiWMUA0,kaD4T000000Xmi0UAC,kaD4T000000Co1eUAC"," Here are the steps to replace a vehicle on a commercial policy:

1. Contact Service Operations for assistance. 

2. Open policy in PSP.

3. Under the Endorse Policy Tab select Start Endorsement.

4. In a new tab that pops up, select the Effective Date, then Endorse Policy.

5. Select Save and Continue on the bottom.

6. Select +Add.

7. Under Add/Edit Vehicle Information, select Type and enter the VIN.

8. Fill in the appropriate information and select Save.

9. If replacing vehicle, delete the vehicle being replaced.

10. Select Save and Continue.

11. Under Coverages Tab, scroll to the vehicle that was added and enter appropriate information. 

12. Select Get Rates.

13. Save and Continue when done.

14. Select Submit Endorsement.

15. Enter appropriate Diary and TC comments.",Added the contact service operations for assistance piece which isn't needed. Marking the item as pass as all other content is present.,Pass
How do I file a Work Comp claim online?,"File a claim online
Visit Farmers.com and select Claims > Business Claims. (Note: If you have questions, you can select Workers Comp on the Business Claims page for FAQs and to find a doctor near you.)
Log in using your account credentials, or you can create a login to get started. If you dont want to log in, you can use your policy number.
Hit the button File a claim and select your role:
 Im a current Farmers customer,
 I represent another insurance carrier, or
 Im someone else.
Select Business Claim.
Select your address from the drop-down menu (or fill in your policy details if you did not log in), and hit Next.
Fill in your claim details and your contact information.
Hit Submit Claim and youll get a confirmation with your claim number. After that, you can also add in details about the injured worker and hit Save to include them in your claim.
Then youre all set!",kaD4T000000XibqUAC,Commercial,"kaD4T000000XibqUAC,kaD4T000000PIvjUAG,kaD4T000000XmlaUAC,kaD4T0000008VeFUAU,kaD4T000000bo3VUAQ"," To file a Work Comp claim online, you can follow these steps:

1. Visit Farmers.com and select Claims > Business Claims.
2. Log in using your account credentials, or you can create a login to get started. 
3. If you dont want to log in, you can use your policy number.
4. Hit the button File a claim and select your role:
- Im a current Farmers customer,
- I represent another insurance carrier, or
- Im someone else.
5. Select Business Claim.
6. Select your address from the drop-down menu (or fill in your policy details if you did not log in), and hit Next.
7. Fill in your claim details and your contact information.
8. Hit Submit Claim and youll get a confirmation with your claim number. 
9. After that, you can also add in details about the injured worker and hit Save to include them in your claim.",,PASS
Documentation needed to process a backdated cancellation?,"All Products -
Bill of Sale including:
Description of the property
Example: Year, Make, and VIN; Dwelling description with location.
Date of sale
Signatures for the buyer and the seller (insured)
Note: This requirement is waived for official forms from the state, or for trade in receipts from a dealership.
Declarations Page including:
Policy term for the cancellation date requested. If backdating more than one term, the Declaration Pages must be provided from each policy term.
Example: For a cancellation date of 01/04/2023, a Declarations Page with a policy term of 01/01/2023-01/01/2024 would be acceptable.
A description matching the property that is insured on the Foremost policy.
Example: This would include the Year, Make, and VIN; or the dwelling description with location.
Named insured must match the Named Insured on the Foremost policy (Acceptable if the named insured is listed as co-titleholder or additional insured.).
Note:  Umbrella policies are not acceptable to use as proof of other coverage.
Evidence of Insurance or binder documents meeting all Declarations Page criteria
Duplicate Foremost or Farmers policy:
Note: The policies should be verified within the system(s) to confirm that the following information matches: 
Named insureds
Location address (Property)
Unit information (VIN or Serial Number)
 
Property -
Seller's Statement or Closing Disclosure including:
The Named Insured as the seller
Sale date
Location address or property description matching the location address or unit on the Foremost policy
Buyer's name
Note: Word documents and estimated settlement or closing statements are not acceptable.
Note: If the policy is being cancelled due to sale by an Executor of Estate or Trustee; the date to use is the date the property was actually sold to a third party, not the date the property transferred into the Estate or Trust.
Quitclaim, contract for deed, or Warranty deed
Insured's Lease Expired document or Notice to Vacate:
Documentation such as correspondence from the landlord or management company confirming a termination of contract.
Home settlement statement
Note: Estimated settlement statements or closing statements are not acceptable.
County website proof from netronline
Foreclosure documentation showing the date the lender took ownership of the property.
Statement of incarceration 
 
Recreational Vehicle -
A copy of a ""Notice of Transfer and Release of Liability""  
Note:  Only the electronic submissions copy will be acceptable due to this being time-stamped with the exact time the transfer went through.
Official ID cards from the new carrier
Note: This will be an acceptable source only if the policy period on the ID card begins on the requested cancellation date.
Proof of license plate surrender
Note: Applicable to NY only.
Coverage provided by a Homeowner's policy
Note: This can be considered as proof of duplicate coverage if the unit information is listed on that policy, matches the unit on the current policy, and the effective date is on or before the requested cancellation date.",kaD4T000000XnffUAC,Specialty,"kaD4T000000XnffUAC,kaD4T000000XiPzUAK,kaD4T000000CcKhUAK,kaD1L000000GqpeUAC,kaD4T000000bp11UAA"," A valid cancellation request including:
The insured's name
The policy number(s) to be cancelled
The requested effective date of cancellation
The signature of either the Primary Named Insured (PNI) or theSecondary Named Insured (SNI)
Note: Signatures from out of household or excluded customersare not acceptable, even if they are
listed as a named insured ora spouse.
Note: Typed names are acceptable on an email request for
Supporting documents 
A copy of the executed and recorded deed or a HUD-1
A copy of the closing statement
A copy of the lender's letter stating that the loan has been paid in full
A copy of the death certificate
A copy of the divorce decree
A copy of the military orders
A copy of the IRS form 1099-C
A copy of the insurance claim denial letter
A copy of the bankruptcy discharge order
A copy of the property tax bill showing that the property has been sold",Much of the content in the answer is made up and not part of the article,Fail
How do I cancel a Policy in AS400?,"In AS400
1.	Go to Policy Processing screen
2.	Select Cancellation
3.	Enter cancellation date
4.	F5
5.	Enter cancellation code on Reason Amended
6.	Enter
7.	F7 twice
8.	Enter date of cancellation
9.	Enter to confirm
10.	Repeat Steps 1-9 on any future effective mods",kaD4T000000TNGFUA4,FSA,"kaD4T0000008V6eUAE,kaD4T000000TNGFUA4,kaD4T0000000DamUAE,kaD4T0000008nepUAA,kaD4T000000923xUAA"," To cancel a policy in AS400, follow these steps:

1. Contact Service Operations for assistance.
2. Confirm that a signed request from the insured has been received and will be retained in the producer's office.
3. Check receivables through AS400 Direct Bill (option 1)Billing Adjustments (option 4).
4. Place a 7 (Installment Balance) next to the policy number.
5. If you see the self destruct flag on, allow the policy to go through the automated self-destruct process (PSD).
6. If there is no self destruct flag, you will cancel the policy PFN using PSP.
7. Notate the policy. Include header *** NONRENEW*** with details on why the policy is being non-renewed.
8. Suspense date should be the expiration date of the policy.",Used article kaD4T0000000DamUAE which talks about non renew or cancelling the renewal term.  Question was not about non-renewing. Article does state in multiple areas though cancelling the policy.,Partial Pass
Can I stop pay and reissue/reapply a refund check that was generated today?,We will not be able to stop pay and reissue/reapply until the check shows in the 87 account / Refund tab.,kaD1L0000004DGKUA2,Farmers,"kaD1L0000004DGKUA2,kaD4T0000004b2wUAA,kaD4T000000HJAoUAO,kaD4T000000XldHUAS,kaD4T000000PIleUAG"," Yes, you can stop pay and reissue/reapply a refund check that was generated today. 

Here are the steps on how to reissue a refund check: 

* Enter the name as it appears on the billing account. 
* Enter the address the refund needs to be reissued to. 
* Select the reason for the refund. 
* Submit the transaction. 

Additional Information: 

* Allow 24-48 hours for processing Monday through Thursday. 
* Transactions processed Thursday through Monday will update on the account by Tuesday. 
* Advise the agent/customer the check (provide check number) has been stop paid and the check should not be cashed. The check can be shredded by the customer. 
* If the billing summary stated that a mechanical refund was issued, but there is no check information in the Refund tab; Wait 24 hours for that information to generate. 
",Article kaD1L0000004DGKUA2 talks about this issue but it is Using steps 12 -14 on kaD4T0000004b2wUAA.  The additional info is coming from kaD4T000000PIleUAG. ,Fail
What are aceptable forms of cancellation requests?,"Return of policy documents by the first named insured or an officer with the officers title, which includes a dated note requesting and/or stating the reason for the cancellation
A 31-0212 cancellation form with the date and signature of the first named insured or an officer, with the officers title
A letter with the date and signature of the first named insured or an officer, with the officers title
An email from the first named insured or an officer, with the officers title
A Lost Policy Release (ACORD form) with the date and signature of the first named insured or an officer, with the officers title
A Total Loss Settlement form 23-0325 signed and dated by the first named insured or an officer, with the officers title",kaD4T000000XnqVUAS,Commercial,"kaD4T000000XnqVUAS,kaD4T000000H9tvUAC,kaD4T000000PKlWUAW,kaD4T000000Xo3UUAS,kaD4T000000H9w6UAC"," Acceptable forms of cancellation requests include: 
* Email requests from the insured
* Verbal requests from the insured (in some states)
* Written requests from the insured's agent
* DocuSign requests from the insured's agent
* Mail or fax requests from the insured
* Verbal requests from the legal representative of the estate (in the case of a deceased insured)
* Written requests from the legal representative of the estate (in the case of a deceased insured)",Summarizes the information on the article kaD4T000000XnqVUAS.,Pass
How do I apply an agency sweep payment,"1.	Log into PSP
2.	Select 'Search by Policy Number'
3.	Input policy number and select 'Search'
4.	Hover over '>>' next to Active/Future Effective term and select 'Policy Summary'
5.	Hover over 'Billing/Payment'
6.	Select 'Producer Sweep'
7.	Verify Policy number
8.	Enter the Amount Due
9.	Enter the authorized Caller First & Last Name
10.	Select the date
11.	Select 'Submit'
12.	Document SR & Diary
	What do I need to Comment?
",kaD4T0000008UtHUAU,FSA,"kaD4T0000008UtHUAU,kaD4T0000004EKBUA2,kaD4T0000000BaqUAE,kaD4T0000008UbvUAE,kaD4T0000008U1dUAE",,No answer to look at,Fail
What is the process for Named Insured's POA to request policy cancellation?,"Cancel processes allowed: Verbal, Mail, Email, Fax 
Documentation showing the person requesting cancellation has been legally appointment as POA, EOE or Trustee in imaging or sent to imaging.  ",kaD4T000000blyvUAA,Specialty,"kaD4T000000blyvUAA,kaD4T0000009DENUA2,kaD4T000000boyvUAA,kaD4T000000HJ4IUAW,kaD4T000000XnffUAC"," All requirements under 'Named Insured(s)'
Copy of POA, EOE, or Trust paperwork forms on file
When the policy is written as ""The Estate Of"" and the EOE is listed as an Individual with Control, we do not need EOE documents
When the policy is written in the name of a Trust, we do not need Trust paperwork if the Trustee is listed as an individual with control",Anwsered based of article kaD4T000000HJ4IUAW. States all requirements under named insured but didn't list requirements. Did state exactly what the article stated.,Partial Pass
How do I stop pay a refund check?,,kaD4T000000bnGHUAY,FWS,"kaD4T000000XeCZUA0,kaD4T000000bnGHUAY,kaD4T000000XnbWUAS,kaD4T0000004cOUUAY,kaD4T000000PMeDUAW"," 1. Contact the Agency Response Center for assistance. 
2.  Instruct the insured not to cash the check once received, as it will no longer be active and could cause further complications to the process. 
3.  Fill out a Digital Billing Stationary Request with the following information: 
     * Request Category: Stop_Pay 
     * Request Type: Reapply to Same Policy 
     * Document the request notes in the Billing Center. 
4.  The original check will be voided and Agent360 for billing will credit the refund towards the outstanding balance as part of the overnight batch process. 
5.  Agent360 for billing policy notes will be updated once the request is complete. 
6.  No additional correspondence will be sent.",Steps 4-6 seem to be made up.,Fail
How do I use the pay plan calculator for mid-term changes?,"For Calculation Involving Endorsement(s) / Mid-term changes not yet Reflected on the Billing History: 
1.	Navigate to the ""Data Input"" section in the upper left corner.
2.	Enter the policy effective date in the ""Effective Date"" cell.
3.	Enter in the Premium (minus state tax) into the ""Total Premium"" cell.
4.	If there has been any payment applied to the term, enter in the premium paid to date excluding taxes and fees in the ""Paid Premium"" cell.
5.	Enter the state in the ""Location State"" cell.
6.	Enter the policy product code in the ""Product Code"" cell. 
7.	In the ""View Payments as of this Date:"" cell, add the date you need to view the billing status of.
	For example, to see what the original billing breakdown would have been you can enter the effective date into this cell and it will show you how the bills would have generated. 
8.	In the ""Endorsements"" section, upper right corner:
a.	Add the Issue Date of the endorsement in question. 
b.	Add the Effective Date of the endorsement in question. 
	Note:  The ""Effective Date"" may differ from the ""Issue Date"" if it is backdated or postdated.
c.	Enter the new Full Term Premium amount. The Premium Change will auto-generate in the ""Premium Change"" cell. 
2.	The updated pay plan billing amounts will auto-generate in the appropriate chart areas below the data entry fields. 
3.	When finished, clear all the data you entered to ensure the next transaction is not corrupted.
",kaD4T000000TQXTUA4,Specialty,"kaD4T000000TQXTUA4,kaD4T000000TNssUAG,kaD4T0000004E7LUAU,kaD4T000000XiB4UAK,kaD4T000000TPy9UAG"," 1. Enter the new Full Term Premium amount. 
2. The Premium Change will auto-generate in the ""Premium Change"" cell. 
3. The updated pay plan billing amounts will auto-generate in the appropriate chart areas below the data entry fields. 
4. When finished, clear all the data you entered to ensure the next transaction is not corrupted. 

Note: When changing a pay plan, the billing is automatically reset and a new bill will be sent out. 

Note: If the customer is on automatic EFT withdrawals, a reset will cause a new bill to generate. Review the policy to see if a scheduled EFT payment needs to be canceled. 

If you would like a more detailed view of the pay plan, click the appropriate pay plan code located at the bottom of the excel window.",Steps appear to be from kaD4T000000TQXTUA4 but are over summarized and out of order with other steps missing.,Fail
How do I stop pay a refund check?,"1.	Advise the caller not to cash or deposit the refund check the check is being stopped to avoid any charges from their financial institution.
2.	Pull up the original disbursement in KI32 How to view a refund in KI32.
3.	Double click on the 'Cash Form Helper' icon on the desktop of your computer.
	If  unable to download the Macro at this time, Cash Forms can be accessed in Specialty Resources here.
	Note:  For funds coming in under an invalid policy number as well as 1111111111, the form needs to be processed manually. In step 11, include that invalid policy numbers should also be 15 digits and need the 000 prefix and 00 suffix  Skip to step 15. 
4.	Type in the 10-digit policy number.
	Note: If submitting the cash form manually enter full the 15-digit policy number
5.	Select ""Stop Pay"" in the drop-down Cash Form type. 
6.	Select the destination of funds (check, policy, etc).
7.	Enter the amount of the check .
8.	Type in ForemostSTAR log-in into ""Foremost ID.""
9.	Enter ForemostSTAR password.
10.	Enter foremost for department.
11.	Click 'start' at bottom of the helper.
	Cash form will populate in a new window with the Policy number, Insureds First and Last Name, Amount, and Destination fields prefilled.  
	For funds under policy# 1111111111 use  000 1111111111 00. 
12.	Copy and paste the check number listed in:
	KI32 in Check Ref Number field ,or
	If the check number is ""0"", the refund was reapplied to the policy on the date listed.
	Notes on the policy if the check has been reissued already, or
	Notes in Content Manager if from an A/R letter
13.	Enter the 'Issue Date' using the 'Process Date' field in KI32.
14.	Provide the Full Reason including:
	Advised caller to destroy the original check
	If updating mailing address, include that full address
15.	Enter the most appropriate Reason Code from the choices listed.
	If check is being reapplied to policy, any reason code can be used.
16.	Select the Company,
	This is listed as an abbreviation in the CO field next to the policy number in KI32. How to find the company name for a policy
17.	Destination information. 
18.	Review the destination:  
	If the name(s) need to be changed to an estate, enter it in the payee line.
	Can the name be changed on a refund check?
	If destination is a policy:
	Enter the 15-digit policy number.
	Can a disbursement check be transferred from a cancelled policy to an active policy for the same customer?
	If destination is a check:
	Enter payee and mailing address.
	If the name(s) need to be changed to an estate, enter it in the payee line. 
	What to do if the customers name wont fit in the cash form?
	How to enter multiple names as payees into to a cash form
	What to do if the mailing address wont fit in the cash form?
	If check needs to be sent in care of someone, add C/O before their name on the Attention line.
	If the funds need to be held, destination is Suspense.
	Why did a payment go in to cash in suspense (CIS)?
19.	Enter the check reason. How to know what check reason to use for a cash form
20.	Select 'Resolution Team' from the 'Send to"" drop down.
21.	Click 'Submit'.
22.	Notate the policy or the SR, include ""Submitted cash form"" in the note and that the caller was advised to destroy the original check along with the reason the form was submitted.
	Note: If the destination is another policy, all policies involved require notations
",kaD4T000000XlB7UAK,Specialty,"kaD4T000000bnBvUAI,kaD4T000000XlB7UAK,kaD4T000000XlB1UAK,kaD4T000000XlAvUAK,kaD4T000000CbdYUAS"," 
To stop pay a refund check, follow these steps: 

1.  Make sure it has been 30 days since the check was issued 
    >Note: The 30-day rule only applies to checks issued with the correct
information (including mailing address).
2.  Verify the reason for the stop pay falls within the 
     criteria listed in the article
3.  Fill out the Cash Form 
     >Note:  When applying funds to the renewal term of an expired owner occupied 
     mobile home,  process a Renewal Acceptance prior to submitting the cash form.
4.  Notate the policy 
5.  Submit the form 
     >Note:  In the 'Send to' field, select Resolution 
     Team from the drop-down list.",Multiple articles about stop pay and refund.  Looks like LLM summarized all together,Fail
What agents are restricted from writing higher limits?,"California:
0403661
0461120
0470914
0493849
0479074
Florida:
0991901
0945204
0910271
0990068
0910246
0910784
0942551
0943945
0940190
0910400
0991344
0990702
0991501
Pennsylvania:
3710226
3792737
3722409
3793445
3722955
3722355
Texas
Currently there are no restricted agents in Texas",kaD4T000000POlbUAG,Bristol_West,"kaD4T000000POlbUAG,kaD4T000000Xh5rUAC,kaD4T0000008oCsUAI,kaD4T0000004SnOUAU,kaD4T000000L1qPUAS"," California:
04036610461120047091404938490479074
Florida:
099190109452040910271099006809102460910784094255109439450940190091040009913440990702
0991501
Pennsylvania:
371022637927373722409379344537229553722355
Texas
Currently there are no restricted agents in Texas",Formating needs adjusting but overall ok,Pass
How do I stop pay a refund check?,,kaD4T000000XmfDUAS,FWS,"kaD4T000000XeCZUA0,kaD4T000000bnGHUAY,kaD4T000000XnbWUAS,kaD4T0000004cOUUAY,kaD4T000000PMeDUAW"," 1. Contact the Agency Response Center for assistance. 
2.  Instruct the insured not to cash the check once received, as it will no longer be active and could cause further complications to the process. 
3.  Fill out a Digital Billing Stationary Request with the following information: 
     * Request Category: Stop_Pay 
     * Request Type: Reapply to Same Policy 
     * Document the request notes in the Billing Center. 
4.  The original check will be voided and Agent360 for billing will credit the refund towards the outstanding balance as part of the overnight batch process. 
5.  Agent360 for billing policy notes will be updated once the request is complete. 
6.  No additional correspondence will be sent.",Steps 4-6 seem to be made up.,Fail
"I need to update the mailing address, can I do it the same day the policy is cancelled?","Verify if the mailing address is the same or needs updated so that refund check/EP bill are sent to the correct address. If mailing address does need updated, please follow 2day change process",kaD4T000000XZcfUAG,FWS,"kaD4T000000XdSbUAK,kaD4T000000XmORUA0,kaD4T000000PM6zUAG,kaD4T000000XkbxUAC,kaD4T000000XdTjUAK"," Yes, you can update the mailing address on the same day the policy is cancelled. 

""ADDRESS NEEDS CHANGED  THIS IS A 2 DAY CHANGE
Update the mailing address on the customer page using the same date of the cancellation. DO NOT
change the exact location - changing the exact location address may result in a change in
premium. Refer to Address Change.""",A360 does allow mailing address change and cancellation. ARS does not.  Question does not state system.,Pass
When do I review driver MVR activity ?,"As an underwriter, one would not intuitively know if the quoted driver has MVR activity. However, an MVR correction may be required in the event of a policy rewrite.

If there is known driver activity on the previous policy during a rewrite, the underwriter will be able to add the correct point value based on the activity - major, minor or cite.
 

At this time, the functionality will only work for adding MVR points not deleting points.
 ",kaD4T000000H642UAC,Commercial,"kaD4T000000H642UAC,kaD4T000000L0JrUAK,kaD4T0000000CgKUAU,kaD4T0000000CPxUAM,kaD4T0000000CYlUAM"," As an underwriter, one would not intuitively know if the quoted driver has MVR activity. However, an MVR
correction may be required in the event of a policy rewrite.If there is known driver activity on the previous
policy during a rewrite, the underwriter will be able to add the correct point value based on the activity -
major, minor or cite.",Missing small section about adding points not deleting points but that was not in refernece to the question.,Pass
When do I refer auto changes to a UW?,"Add/Change an undescriptive trailer.
Adding a vehicle to a Towing or ASR risk.
Any changes to SIC: 2411 policies - Logging Trucks.
Increasing the liability limit on a tow truck or dump truck.
Increasing the liability limit to $2,000,000 on vehicles over 45,000 GVW.
Adding a high-value private passenger vehicle (in excess of 100,000).
Adding/changing heavy & extra heavy vehicles (over 45,000 GVW).
Adding Expanded Auto Classifications (i.e.: tow trucks, logging, sand gravel dirt, contract carriers etc.)
Adding sports car/high performance vehicle/luxury vehicles. See: Hold Handling Guideline (HHG): Auto BAUW7: Exotic Vehicles are not eligible for the commercial auto program
Any changes to a policy with Auto Symbol 1 (Any Auto Broad Coverage).
Placing vehicle into a storage plan (removing all coverages except comprehensive).
Conflicts regarding the cost new of a vehicle.
Vehicles with a lift attached or any other special equipment (i.e.: crane, cherry picker, etc.)
Conflicts over the proof of prior insurance documentation or rating.
Any requests to remove an unlisted driver surcharge.",kaD4T000000XnhxUAC,Commercial,"kaD4T000000XnhxUAC,kaD4T000000XjApUAK,kaD4T000000PP8LUAW,kaD4T00000003l5UAA,kaD4T00000003nBUAQ"," Refer all class code additions or removals (Examples: Artisan Contractor, IBOP, or CPP). 
 Referrals to UW should also be made for the following: 
 - Adding/Changing heavy & extra heavy vehicles (over 45,000 GVW)
 - Adding Expanded Auto Classifications (i.e.: tow trucks, logging, sand gravel dirt, contract carriers etc.)
 - Adding sports car/high performance vehicle/luxury vehicles
 - Any changes to a policy with Auto Symbol 1 (Any Auto Broad Coverage)
 - Placing vehicle into a storage plan (removing all coverages except comprehensive)
 - Conflicts regarding the cost new of a vehicle
 - Vehicles with a lift attached or any other special equipment (i.e.: crane, cherry picker, etc.)
 - Conflicts over the proof of prior insurance documentation or rating
 - Any requests to remove an unlisted driver surcharge",Picked up on some of the bullet points but not others. Also added the section about all class codes.,Partial Pass
How do I get an interpreter?,"Confirm with caller it is okay to hold
Click conference button on SRM soft phone
Dial the interpreter
Can dial 1-800-946-7990
Can type in 'interpreter' and select from phone book
Enter Pin #3018
Request and confirm language needed
Sometimes steps 4 and 5 may be reversed
Brief the interpreter on the nature of your call
Collect interpreter name and interpreter ID for notes
Click conference join on SRM soft phone
Remember:
Use short phrases
Speak as though you are speaking directly to the caller
Note:
If there are phone issues connecting to the interpreter line the direct line back-up is 800-434-2076 which can be dialed from the soft phone.",kaD4T000000GpLqUAK,FACT,"kaD4T000000GpLrUAK,kaD4T0000008kdHUAQ,kaD4T000000XiBrUAK,kaD4T0000009EKFUA2,kaD4T0000004fl4UAA"," To get an interpreter, you can: 
 1. Confirm with the caller that it is okay to hold. 
2. Click the conference button on the SRM soft phone. 
3. Dial the interpreter. You can dial 1-800-946-7990 or type in ""interpreter"" and select from the phone book. 
4. Enter Pin #3018. 
5. Request and confirm the language needed. 
6. Sometimes steps 4 and 5 may be reversed. 
7. Brief the interpreter on the nature of your call. 
8. Collect the interpreter's name and interpreter ID for notes. 
9. Click conference join on the SRM soft phone. 
10. Remember to use short phrases and speak as though you are speaking directly to the caller. 
",Missing Content in Load,Missing Content in Load
What States require written request to cancel A360?,Several states require a written request to cancel but currently GA and LA are the only Agent360-related state that requires it.,kaD4T000000PGrpUAG,FWS,"kaD4T000000XZcfUAG,kaD4T000000PGrpUAG,kaD4T000000XZd4UAG,kaD4T000000XkbxUAC,kaD4T000000PM6zUAG"," The following states require a written request to cancel an A360 policy: 
- Alabama
- California 
- Georgia 
- Hawaii 
- Idaho 
- Indiana 
- Kentucky 
- Louisiana 
- Maine 
- Maryland 
- Massachusetts 
- Michigan 
- Minnesota 
- Mississippi 
- Missouri 
- Montana 
- Nebraska 
- Nevada 
- New Hampshire 
- New Jersey 
- New York 
- North Carolina 
- North Dakota 
- Ohio 
- Oklahoma 
- Oregon 
- Pennsylvania 
- Rhode Island 
- South Carolina 
- South Dakota 
- Tennessee 
- Texas 
- Utah 
- Vermont 
- Virginia 
- Washington 
- West Virginia 
- Wisconsin 
- Wyoming",This does not appear to be stated in the articles.,Fail
What is the frontline advocate procedure for SR22 ?,"The insured should have the Order of Requirements For Proof of Financial Responsibility or Suspension letter in front of them to reference for necessary Information. Before submitting the SR22 template, please review the following:
If the request is for someone not on the policy, advise the customer we issue the SR22 only for rated drivers.
If they wish to add the driver then refer to: How to process Add Operator
Advise them the driver must remain listed for the duration of the policy or the expiration of the SR22.
If a customer requests an SR22 for a State other than Hawaii, refer the SR to Word Processing for possible SR22 options. Do not advise customer that it will or will not be issued.
SR22s automatically expires after 3 years from the filing date. Refer to SR26 for specifics.",kaD4T000000buiaUAA,Farmers_Hawaii,"kaD4T000000buiaUAA,kaD4T000000XmesUAC,kaD4T000000HDIhUAO,kaD4T000000HDSJUA4,kaD4T000000bly2UAA"," Frontline advocates should follow these steps when processing SR22 requests: 

- Review the state requirements for SR22 filings. 
-  Advise the customer that an SR22 filing will be submitted to the state's 
Bureau of Motor Vehicles (BMV) on their behalf. 
- Collect the required information from the customer, including their 
driver's license number, date of birth, and insurance policy 
information. 
- Submit the SR22 filing to the BMV. 
- Provide the customer with a copy of the SR22 filing for their records. 
-  Make a note in the customer's file that an SR22 filing has been 
submitted. 
- Follow up with the customer to ensure that the SR22 filing has been 
received by the BMV.",Not sure where the answer is coming from,Fail
